Acteur,id_Acteur,nb_films
Tom Hanks,31,72
Wallace Shawn,12900,75
Robin Williams,2157,82
Patricia Clarkson,1276,58
Walter Matthau,6837,58
Jack Lemmon,3151,58
Daryl Hannah,589,57
Burgess Meredith,16523,56
Kevin Pollak,7166,62
Steve Martin,67773,53
Eugene Levy,26510,51
Al Pacino,1158,53
Robert De Niro,380,104
Val Kilmer,5576,70
Jon Voight,10127,59
Tom Sizemore,3197,63
Danny Trejo,11160,102
Jeremy Piven,12799,50
Xander Berkeley,3982,53
Harrison Ford,3,57
Paul Giamatti,13242,73
Jean-Claude Van Damme,15111,55
Pierce Brosnan,517,56
Sean Bean,48,62
Martin Sheen,8349,77
Richard Dreyfuss,3037,55
Kevin Bacon,4724,63
Bob Hoskins,382,56
Jim Cummings,12077,63
Frank Welker,15831,107
Miriam Margolyes,6199,51
Anthony Hopkins,4173,71
Ed Harris,228,74
Paul Sorvino,7004,52
Mary Steenburgen,2453,61
James Woods,4512,70
Dan Hedaya,6486,50
Edward Herrmann,52995,50
Matthew Modine,8654,53
Frank Langella,8924,51
Sharon Stone,4430,58
Richard Riehle,18262,62
Tom Wilkinson,207,67
Tim Roth,3129,60
Antonio Banderas,3131,67
Marisa Tomei,3141,55
Bruce Willis,62,91
Salma Hayek,3136,51
Marc Lawrence,3140,54
Woody Harrelson,57755,74
John Travolta,8891,58
Gene Hackman,193,80
Danny DeVito,518,69
Sigourney Weaver,10205,67
Dermot Mulroney,20212,61
Sylvester Stallone,16483,70
Julianne Moore,1231,66
Lance Henriksen,2714,77
Jeff Goldblum,4785,63
Nicolas Cage,2963,82
Laurence Fishburne,2975,67
Cloris Leachman,9599,62
Janeane Garofalo,21197,54
Ciarán Hinds,8785,57
Ron Perlman,2372,74
Brad Pitt,287,60
Christopher Plummer,290,82
James Cromwell,2505,56
Jonathan Pryce,378,55
Susan Sarandon,4038,93
Sean Penn,2228,57
Jack Black,70851,55
Clancy Brown,6574,52
Paul Rudd,22226,53
James Earl Jones,15152,80
Jim Broadbent,388,78
Kristin Scott Thomas,5470,52
Maggie Smith,10978,53
Robert Downey Jr.,3223,70
Keith David,65827,87
Sam Neill,4783,64
David Thewlis,11207,52
Nicole Kidman,2227,60
Matt Dillon,2876,51
Ellen Burstyn,9560,54
Rip Torn,9626,68
Richard Jenkins,28633,74
Morgan Freeman,192,85
Kevin Spacey,1979,56
Gabriel Byrne,5168,56
Woody Allen,1243,56
Helena Bonham Carter,1283,57
Michael Rapaport,4688,54
Jack Warden,5251,55
John C. Reilly,4764,63
Malcolm McDowell,56890,90
Michael Ironside,11086,74
Charles Durning,1466,70
Geraldine Chaplin,400,62
David Strathairn,11064,68
Kiefer Sutherland,2628,59
Philip Baker Hall,4492,54
William H. Macy,3905,74
Denis Leary,5724,50
Harvey Keitel,1037,91
Christopher McDonald,4443,68
Parker Posey,7489,53
Elliott Gould,827,52
Christian Slater,2224,71
Tom Arnold,74036,65
Jeffrey Tambor,4175,59
Jack Nicholson,514,57
Anjelica Huston,5657,59
Alec Baldwin,7447,82
Andy García,1271,56
Christopher Lloyd,1062,82
Steve Buscemi,884,101
Christopher Walken,4690,96
Roddy McDowall,7505,68
Jeff Bridges,1229,72
Faye Dunaway,6450,50
Gary Busey,2048,56
Bruce McGill,14888,57
Johnny Depp,85,69
John Malkovich,6949,68
Michael Gambon,5658,71
Glenn Close,515,53
John Cusack,3036,78
Luke Wilson,36422,52
Owen Wilson,887,51
James Caan,3085,77
Bill Pullman,8984,60
Joan Cusack,3234,55
Dean Stockwell,923,63
Ray Liotta,11477,69
Peter Coyote,9979,50
Ben Stiller,7399,65
Meryl Streep,5064,66
Clint Eastwood,190,63
Tim Curry,13472,54
Brendan Gleeson,2039,56
Brian Cox,1248,78
Peter Boyle,1039,50
Jackie Chan,18897,108
Liam Neeson,3896,82
Alfred Molina,658,66
John Heard,11512,63
Scarlett Johansson,1245,51
Alan Arkin,1903,66
Joe Pantoliano,532,51
Jim Belushi,26485,60
Chris Rock,2632,54
John Goodman,1230,97
Harry Dean Stanton,5048,81
Bruce Dern,6905,71
Patton Oswalt,10872,55
Robert Redford,4135,50
Kevin Corrigan,18472,52
Ernie Hudson,8874,55
Isabelle Huppert,17882,66
Bill Paxton,2053,59
Clint Howard,15661,64
John Hurt,5049,93
Jason Flemyng,973,51
Tommy Lee Jones,2176,54
Michael Gough,3796,50
Drew Barrymore,69597,52
Catherine Deneuve,50,67
Michel Piccoli,3784,62
Dan Aykroyd,707,73
John Turturro,1241,81
Bruce Campbell,11357,53
Jeremy Irons,16940,53
Samuel L. Jackson,2231,123
Colleen Camp,13023,58
Sean Connery,738,61
Richard Gere,1205,51
John Gielgud,11857,57
Michael Madsen,147,65
M. Emmet Walsh,588,80
Matthew Lillard,26457,56
Patrick Stewart,2387,63
Keanu Reeves,6384,64
Dolph Lundgren,16644,66
Udo Kier,1646,73
Max von Sydow,2201,84
Stanley Tucci,2283,79
Shelley Winters,7632,67
Rosario Dawson,5916,56
Catherine Keener,2229,51
Liev Schreiber,23626,61
Ben Affleck,880,50
Whoopi Goldberg,2395,85
Elias Koteas,13550,56
Scott Glenn,349,51
Beth Grant,5151,60
Gary Oldman,64,56
Robert Duvall,3087,84
Gina Gershon,11150,54
William Hurt,227,69
Forest Whitaker,2178,77
Dennis Quaid,6065,63
Ben Kingsley,2282,79
Aidan Quinn,18992,52
Brian Dennehy,6197,59
Billy Bob Thornton,879,56
Ralph Fiennes,5469,52
Vincent D'Onofrio,7132,57
John Leguizamo,5723,81
Anthony Quinn,5401,88
Kevin Costner,1269,52
Dennis Hopper,2778,94
James Remar,1736,64
Ethan Hawke,569,57
Colin Firth,5472,52
Donald Sutherland,55636,109
Bruce Greenwood,21089,61
Kathy Bates,8534,64
Jeff Daniels,8447,54
Lin Shaye,7401,61
Bill Murray,1532,66
Jean Reno,1003,50
Bruce Davison,52374,63
Rob Paulsen,43125,50
Tim Robbins,504,52
Stephen Rea,9029,52
Nick Nolte,1733,70
Arnold Schwarzenegger,1100,50
Ned Beatty,13726,72
Joss Ackland,14324,64
Ving Rhames,10182,66
Peter Cushing,5,69
Vanessa Redgrave,13333,70
Cuba Gooding Jr.,9777,53
Helen Mirren,15735,75
Ian Holm,65,59
John Cleese,8930,68
Stephen Tobolowsky,537,66
Brad Dourif,1370,63
Paul Newman,3636,64
Philip Seymour Hoffman,1233,53
Billy Zane,1954,64
Dustin Hoffman,4483,65
Michael Lerner,4250,50
Rosanna Arquette,2165,51
Marcello Mastroianni,5676,66
Jack Palance,3785,57
Rod Steiger,522,65
Eric Roberts,21315,90
Kurt Russell,6856,55
William Sadler,6573,51
Ewan McGregor,3061,61
Tara Strong,15762,52
